name,slug,aliases,category_key,category_name,market_status,recruitment_status,is_active,website_url,website_url_status,source_urls
36 MINUT,36-minut,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/sport-i-zdrowie/36minut/
4F,4f,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/363/4f/
5 a sec,5asec,,services,Usługi dla konsumentów,uncertain,unknown,True,https://www.5asec.pl,unverified_seed,https://www.5asec.pl
5.10.15.,5-10-15,,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/418/5-10-15/
Abakus Europe,abakus-europe,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1849/abakus-europe/
Abakus Europe Centrum Arytmetyki Mentalnej i BrainFitness,abakus-europe-centrum-arytmetyki-mentalnej-i-brainfitness,,education,Edukacja,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/edukacja/abakus-europe-arytmetyka-mentalna/
abc,abc,,food-retail,Artykuły spożywcze,uncertain,unknown,True,https://www.sklepyabc.pl,unverified_seed,https://www.sklepyabc.pl
Agencja Marketingowa Wertui,agencja-marketingowa-wertui,,business-services,Usługi dla biznesu,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2440/agencja-marketingowa-wertui/
AgencjaTlumaczen.pl,agencjatlumaczen-pl,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1310/agencjatlumaczen-pl/
Agencjawirtualna,agencjawirtualna,,business-services,Usługi dla biznesu,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1965/agencjawirtualna/
Akademia Bystrzak,akademia-bystrzak,,education,Edukacja,uncertain,unknown,True,https://bystrzak.edu.pl,unverified_seed,https://bystrzak.edu.pl
Akademia Młodych Sportowców,akademia-modych-sportowcow,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2380/akademia-mlodych-sportowcow/
Akademia Pamięci,akademia-pamieci,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2390/akademia-pamieci/
Al.Capone,al-capone,,food-retail,Artykuły spożywcze,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1687/al-capone/
Ale Animale Polskie Sklepy Zoologiczne,ale-animale-polskie-sklepy-zoologiczne,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2399/animale-polskie-sklepy-zoologiczne/
ALIOR BANK,alior-bank,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/finanse-i-ubezpieczenia/alior-bank/
Alior Bank Partner,alior-bank-partner,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/803/alior-bank-partner/
AMAkids Polska,amakids-polska,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2118/amakids-polska/
Aspect Nieruchomości,aspect-nieruchomosci,,property,Nieruchomości,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1006/aspect-nieruchomosci/
Auchan,auchan,,food-retail,Artykuły spożywcze,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2054/auchan/
Bafra Kebab,bafra-kebab,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1740/bafra-kebab/
Bank Pekao S.A.,bank-pekao-s-a,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2275/bank-pekao-s/
BeefBus,beefbus,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2422/beefbus/
Benek Pizza i Gruby Benek,benek-pizza-i-gruby-benek,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/gastronomia/benek-pizza-i-gruby-benek/
Berlin Döner Kebap,berlin-doner-kebap,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1644/berlin-doner-kebap/ | https://franczyzawpolsce.pl/baza-sieci/gastronomia/berlin-doner-kebap/
Best Brain,best-brain,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2406/best-brain/
Beza Krówka Lody Rzemieślnicze,beza-krowka-lody-rzemieslnicze,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2262/beza-krowka-lody-rzemieslnicze/
Bike Atelier – sieć sklepów i serwisów rowerowych,bike-atelier-siec-sklepow-i-serwisow-rowerowych,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/sport-i-zdrowie/bike-atelier-siec-sklepow-i-serwisow-rowerowych/
Bike Café,bike-cafe,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1450/bike-cafe/
Blue Shadow,blue-shadow,,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1243/blue-shadow/
Body Evolution,body-evolution,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1948/body-evolution/
Body Evolution Polska,body-evolution-polska,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/uroda-i-kosmetyki/body-evolution-polska/
